2025-06-18 00:36:39.3029 [INFO; Root]  KinematicSoup Technologies Inc.
2025-06-18 00:36:50.4874 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.200533E-08, 2.29381, 2.286397E-07)
2025-06-18 00:36:50.5209 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.212175E-08, 2.221329, 2.258457E-07)
2025-06-18 00:36:50.5209 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.25292E-08, 2.199999, 2.221204E-07)
2025-06-18 00:36:50.5706 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.270382E-08, 2.199999, 2.193265E-07)
2025-06-18 00:36:50.5706 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.2893E-08, 2.191891, 2.165325E-07)
2025-06-18 00:36:50.5706 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.334411E-08, 2.190061, 2.128072E-07)
2025-06-18 00:36:50.6205 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.369335E-08, 2.195028, 2.090819E-07)
2025-06-18 00:36:50.6205 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.40717E-08, 2.197301, 2.053566E-07)
2025-06-18 00:36:50.6541 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.447916E-08, 2.198524, 2.016313E-07)
2025-06-18 00:36:50.6703 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.491571E-08, 2.199144, 1.97906E-07)
2025-06-18 00:36:50.7544 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.526496E-08, 2.199487, 1.941808E-07)
2025-06-18 00:36:50.7544 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.564331E-08, 2.199663, 1.904555E-07)
2025-06-18 00:36:50.7544 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.605076E-08, 2.200033, 1.867302E-07)
2025-06-18 00:36:50.7544 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.648732E-08, 2.199901, 1.830049E-07)
2025-06-18 00:36:50.7712 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.683657E-08, 2.19973, 1.792796E-07)
2025-06-18 00:36:50.8204 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.721492E-08, 2.199958, 1.755543E-07)
2025-06-18 00:36:50.8204 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (-1.676381E-08, 2.200417, 1.993612E-07)
2025-06-18 00:36:50.8204 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (7.450581E-09, 2.200268, 1.969747E-07)
2025-06-18 00:36:50.8711 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (4.656613E-09, 2.200109, 1.84169E-07)
2025-06-18 00:36:50.8711 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (2.142042E-08, 2.200221, 1.851004E-07)
2025-06-18 00:36:50.8873 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (2.607703E-08, 2.200245, 2.104789E-07)
2025-06-18 00:36:50.9203 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (2.980232E-08, 2.199802, 2.516899E-07)
2025-06-18 00:36:50.9203 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (3.445894E-08, 2.199585, 2.55066E-07)
2025-06-18 00:36:50.9535 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (4.284084E-08, 2.199313, 2.566958E-07)
2025-06-18 00:36:50.9535 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.261973E-08, 2.199731, 2.676388E-07)
2025-06-18 00:36:51.0043 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.634502E-08, 2.199765, 2.824236E-07)
2025-06-18 00:36:51.0043 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.739275E-08, 2.199815, 2.938323E-07)
2025-06-18 00:36:51.0539 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.611219E-08, 2.199868, 2.927845E-07)
2025-06-18 00:36:51.0539 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.756738E-08, 2.199903, 2.976158E-07)
2025-06-18 00:36:51.0539 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.896436E-08, 2.199931, 2.951128E-07)
2025-06-18 00:36:51.1044 [INFO; Root]  E2ServerPlayerAuthority.SetTransfrom 1000000 (5.844049E-08, 2.199947, 2.970337E-07)
